lot_id,lot_name,permit,enforcement_days,posted_restrictions,enforcement_start,enforcement_end
76,Lot 1c,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
77,Lot 1c,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
78,Lot 1d,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
79,Lot 1d,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
80,Lot 1d,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
81,Lot 1d,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
82,Lot 1d,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
83,Lot 1d,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
84,Lot 1e,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
85,Lot 1e,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
86,Lot 1e,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
87,Lot 1e,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
88,Lot 1e,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
89,Lot 1e,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
90,Lot 1f,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
91,Lot 1f,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
92,Lot 1f,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
93,Lot 1f,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
94,Lot 1f,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
95,Lot 1f,,Weekdays,Unrestricted after 4PM,16:00:00,23:59:00
96,Lot 2a,,Always,24-Hour restricted,0:00:00,0:00:00
97,Lot 2b,,Always,24-Hour restricted,0:00:00,0:00:00
98,Lot 2f,,Always,24-Hour restricted,0:00:00,0:00:00
99,Lot 3 (NEW),,Weekends,24-Hour restricted,0:00:00,23:59:00
100,Lot 3 (NEW),,Weekdays,24-Hour restricted,0:00:00,2:59:00
101,Lot 3 (NEW),,Weekdays,24-Hour restricted,3:00:00,4:59:00
102,Lot 3 (NEW),,Weekdays,24-Hour restricted,5:00:00,23:59:00
103,Lot 3 (OLD),,Always,24-Hour restricted,0:00:00,0:00:00
104,Lot 4a,,Weekends,Unrestricted after 4PM,0:00:00,23:59:00
105,Lot 4a,,Weekdays,Unrestricted after 4PM,0:00:00,2:59:00
106,Lot 4a,,Weekdays,Unrestricted after 4PM,3:00:00,4:59:00
107,Lot 4a,,Weekdays,Unrestricted after 4PM,5:00:00,6:59:00
108,Lot 4a,,Weekdays,Unrestricted after 4PM,7:00:00,15:59:00
